hidden_sizes,lr,batch_size,train_loss,train_accuracy,train_f_score,test_loss,test_accuracy,test_f_score,mae
"[4, 32]",0.0001,16,1.275027370192314,0.5333333333333333,0.3897435897435898,1.4052831167760103,0.3973919011667811,0.0,3.839954625181118
"[4, 32]",0.0001,32,1.2922246931680565,0.26666666666666666,0.34400871459694987,1.4085463453894076,0.39807824296499655,0.0,3.8913989933653625
"[4, 32]",0.0001,64,1.2573712070782979,0.4,0.29185185185185186,1.3936621494915173,0.40150995195607414,0.0,3.7186929001753977
"[4, 32]",0.001,16,1.0599314580198194,0.5333333333333333,0.12549019607843137,1.242530856443488,0.41455044612216885,0.8823529411764706,3.5533360024403264
"[4, 32]",0.001,32,1.0483995324275532,0.3333333333333333,0.34400871459694987,1.24477990295576,0.41111873713109126,0.8500948766603416,3.5864073819873408
"[4, 32]",0.001,64,1.0355307046181517,0.4666666666666667,0.40761904761904766,1.2347629510838052,0.4248455730954015,0.8823529411764706,3.454121863799283
"[4, 32]",0.01,16,1.1223455605611123,0.4666666666666667,0.3388235294117647,1.284121723278709,0.3925875085792725,0.0,3.6709231297185996
"[4, 32]",0.01,32,1.0734111191145057,0.3333333333333333,0.21263616557734205,1.3141306781250497,0.40631434454358273,0.0,3.634177152444139
"[4, 32]",0.01,64,1.154018309598412,0.6,0.5331313131313131,1.263475485469984,0.42141386410432397,0.0,3.439423472889499
"[4, 64]",0.0001,16,1.1224376468059143,0.4666666666666667,0.12549019607843137,1.305122567259747,0.3795470144131778,0.0,3.8656768092732405
"[4, 64]",0.0001,32,1.1232281118794216,0.5333333333333333,0.5668109668109668,1.304513138273488,0.3925875085792725,0.0,3.7297166933577373
"[4, 64]",0.0001,64,1.134100812380431,0.26666666666666666,0.5331313131313131,1.3124988843565402,0.39327385037748797,0.0,3.7554388774498593
"[4, 64]",0.001,16,0.9819519083356597,0.3333333333333333,0.34400871459694987,1.2259844554507213,0.4124914207275223,0.8823529411764706,3.439423472889499
"[4, 64]",0.001,32,1.0509483136765945,0.5333333333333333,0.2440087145969499,1.2384687947190327,0.42141386410432397,0.8500948766603416,3.3953283001601466
"[4, 64]",0.001,64,0.9931384533480868,0.4666666666666667,0.3388235294117647,1.2279136116090028,0.40837336993822926,0.8823529411764706,3.4724948524365136
"[4, 64]",0.01,16,1.072650524110742,0.4666666666666667,0.5331313131313131,1.2899818666603253,0.40905971173644473,0.0,3.5827327842598944
"[4, 64]",0.01,32,1.0871125247960534,0.26666666666666666,0.11228070175438595,1.3220069823057756,0.39121482498284144,0.0,3.733391291085183
